x,y,z1,z2,z3,z4
0.55,1.45,-100.5094049,-2.1522309,-0.020305784,2.172536684
0.55,1.5,-100.5111614,-2.153990857,-0.016970559,2.170961416
0.55,1.55,-100.5126285,-2.155452527,-0.014163972,2.169616499
0.55,1.6,-100.513852,-2.156668908,-0.011802068,2.168470976
0.55,1.65,-100.5148705,-2.157684524,-0.009813758,2.167498282
0.55,1.7,-100.5157164,-2.158534499,-0.008140645,2.166675144
0.55,1.75,-100.5164172,-2.159247032,-0.006733327,2.165980358
0.55,1.8,-100.5169959,-2.159844751,-0.005550326,2.165395078
0.55,1.85,-100.5174721,-2.160345015,-0.004557511,2.164902526
0.55,1.9,-100.5178622,-2.160763114,-0.003724897,2.164488011
0.55,1.95,-100.5181802,-2.161110699,-0.003028401,2.1641391
0.55,2,-100.5184381,-2.161397777,-0.002447482,2.163845258
0.55,2.05,-100.5186458,-2.161634348,-0.001963459,2.163597808
0.55,2.1,-100.5188118,-2.161827388,-0.001562195,2.163389583
0.55,2.15,-100.5189432,-2.161982893,-0.001231624,2.163214518
0.55,2.2,-100.5190463,-2.1621079,-0.000959777,2.163067677
0.55,2.25,-100.5191262,-2.162207398,-0.000737505,2.162944903
0.55,2.3,-100.5191871,-2.162284365,-0.000558069,2.162842434
0.55,2.35,-100.5192328,-2.16234275,-0.000414242,2.162756992
0.55,2.4,-100.5192662,-2.162386881,-0.000298907,2.162685788
0.55,2.45,-100.51929,-2.162418784,-0.000207536,2.16262632
0.55,2.5,-100.5193061,-2.162439757,-0.000136601,2.162576358
0.55,2.55,-100.5193163,-2.16245215,-8.19E-05,2.162534021
0.55,2.6,-100.5193219,-2.162458697,-3.90E-05,2.162497744
0.55,2.65,-100.519324,-2.162460355,-5.90E-06,2.162466251
0.55,2.7,-100.5193233,-2.162457292,1.8799e-05,2.162438493
0.55,2.75,-100.5193207,-2.162450335,3.6658e-05,2.162413677
0.55,2.8,-100.5193165,-2.16244107,4.9895e-05,2.162391175
0.55,2.85,-100.5193113,-2.162430506,5.9934e-05,2.162370572
0.55,2.9,-100.5193053,-2.162418478,6.6941e-05,2.162351537
0.55,2.95,-100.5192988,-2.162404981,7.1111e-05,2.16233387
0.55,3,-100.5192919,-2.162390594,7.3191e-05,2.162317403
0.55,3.05,-100.519285,-2.162376188,7.4151e-05,2.162302037
0.55,3.1,-100.519278,-2.162362137,7.4406e-05,2.162287731
0.55,3.15,-100.5192709,-2.16234818,7.3725e-05,2.162274455
0.55,3.2,-100.5192641,-2.162334185,7.1989e-05,2.162262197
0.55,3.25,-100.5192574,-2.162320457,6.9453e-05,2.162251004
0.55,3.3,-100.5192509,-2.162307531,6.6615e-05,2.162240916
0.55,3.35,-100.5192448,-2.162295475,6.3607e-05,2.162231868
0.55,3.4,-100.5192389,-2.162284191,6.0464e-05,2.162223726
0.55,3.45,-100.5192334,-2.162273419,5.7006e-05,2.162216412
0.55,3.5,-100.5192282,-2.162263168,5.3275e-05,2.162209893
0.55,3.55,-100.5192233,-2.162253599,4.9381e-05,2.162204218
0.55,3.6,-100.5192188,-2.162245151,4.5731e-05,2.162199421
0.55,3.65,-100.5192147,-2.162237731,4.2347e-05,2.162195384
0.55,3.7,-100.5192108,-2.162231102,3.9179e-05,2.162191923
0.55,3.75,-100.5192073,-2.162224957,3.6009e-05,2.162188949
0.55,3.8,-100.519204,-2.162219341,3.2973e-05,2.162186368
0.55,3.85,-100.519201,-2.162214157,2.9993e-05,2.162184164
0.55,3.9,-100.5191983,-2.162209141,2.6764e-05,2.162182377
0.55,3.95,-100.5191959,-2.162205063,2.4074e-05,2.162180988
0.55,4,-100.5191938,-2.162201982,2.2049e-05,2.162179933
0.6,0.5,-100.3650212,-0.916305923,-0.737590359,1.653896282
0.6,0.55,-100.4265038,-1.058546305,-0.572598876,1.631145181
0.6,0.6,-100.474596,-1.158222192,-0.451349486,1.609571678
0.6,0.65,-100.5127433,-1.229253276,-0.360314093,1.589567369
0.6,0.7,-100.5433585,-1.280563271,-0.290738858,1.571302129
0.6,0.75,-100.5681727,-1.318125318,-0.236708146,1.554833465
0.6,0.8,-100.5884493,-1.346048944,-0.194129647,1.540178591
0.6,0.85,-100.6051279,-1.367158596,-0.160151794,1.52731039
0.6,0.9,-100.6189203,-1.38338716,-0.132754286,1.516141446
0.6,0.95,-100.6303753,-1.396068528,-0.110466098,1.506534626
0.6,1,-100.6399215,-1.40613502,-0.092191394,1.498326415
0.6,1.05,-100.6478971,-1.414243396,-0.077103263,1.491346659
0.6,1.1,-100.6545723,-1.42085854,-0.064572391,1.48543093
0.6,1.15,-100.6601648,-1.426310858,-0.054116358,1.480427216
0.6,1.2,-100.6648523,-1.430837593,-0.04536161,1.476199203
0.6,1.25,-100.6687812,-1.434612677,-0.03801452,1.472627196
0.6,1.3,-100.6720729,-1.437767091,-0.031840915,1.469608006
0.6,1.35,-100.6748291,-1.4404034,-0.026650418,1.467053818
0.6,1.4,-100.6771351,-1.442604563,-0.022286184,1.464890747
0.6,1.45,-100.6790625,-1.444439925,-0.018617196,1.463057122
0.6,1.5,-100.6806717,-1.445968278,-0.015533313,1.461501591
0.6,1.55,-100.6820133,-1.447240078,-0.012941443,1.460181521
0.6,1.6,-100.6831303,-1.448297947,-0.010763323,1.45906127
0.6,1.65,-100.6840582,-1.449178176,-0.008932642,1.458110818
0.6,1.7,-100.6848275,-1.449910531,-0.007394392,1.457304923
0.6,1.75,-100.6854633,-1.450519893,-0.00610199,1.456621883
0.6,1.8,-100.6859871,-1.451026514,-0.005016804,1.456043318
0.6,1.85,-100.6864169,-1.451446765,-0.004106818,1.455553582
0.6,1.9,-100.6867678,-1.451794934,-0.003344325,1.455139259
0.6,1.95,-100.6870528,-1.452081868,-0.002707212,1.45478908
0.6,2,-100.6872828,-1.452316881,-0.002176575,1.454493457
0.6,2.05,-100.6874669,-1.452508971,-0.001735299,1.454244271
0.6,2.1,-100.6876131,-1.452664305,-0.001370345,1.454034649
0.6,2.15,-100.6877279,-1.452788045,-0.001070597,1.453858642
0.6,2.2,-100.6878171,-1.452886147,-0.000825011,1.453711157
0.6,2.25,-100.6878853,-1.452962875,-0.00062496,1.453587834
0.6,2.3,-100.6879364,-1.453020658,-0.000464125,1.453484783
0.6,2.35,-100.687974,-1.453062802,-0.000335804,1.453398606
0.6,2.4,-100.6880007,-1.453093101,-0.000233345,1.453326446
0.6,2.45,-100.6880188,-1.453113359,-0.000152477,1.453265836
0.6,2.5,-100.6880301,-1.453124607,-9.00E-05,1.453214609
0.6,2.55,-100.6880362,-1.453128902,-4.21E-05,1.453170955
0.6,2.6,-100.6880384,-1.453128755,-4.69E-06,1.453133447
0.6,2.65,-100.6880374,-1.453125056,2.4107e-05,1.453100949
0.6,2.7,-100.6880341,-1.453117843,4.5336e-05,1.453072508
0.6,2.75,-100.688029,-1.453107778,6.0418e-05,1.45304736
0.6,2.8,-100.6880228,-1.453096291,7.1359e-05,1.453024931
0.6,2.85,-100.6880156,-1.45308431,7.9454e-05,1.453004856
0.6,2.9,-100.6880078,-1.453071593,8.4801e-05,1.452986793
0.6,2.95,-100.6879997,-1.453057958,8.7537e-05,1.452970422
0.6,3,-100.6879914,-1.453043886,8.8331e-05,1.452955555
0.6,3.05,-100.687983,-1.453030124,8.807e-05,1.452942054
0.6,3.1,-100.6879747,-1.453017031,8.715e-05,1.45292988
0.6,3.15,-100.6879666,-1.453004303,8.5348e-05,1.452918955
0.6,3.2,-100.6879587,-1.452991712,8.2528e-05,1.452909184
0.6,3.25,-100.687951,-1.452979405,7.8931e-05,1.452900473
0.6,3.3,-100.6879437,-1.452967802,7.5062e-05,1.45289274
0.6,3.35,-100.6879368,-1.452957052,7.1087e-05,1.452885965
0.6,3.4,-100.6879303,-1.452947165,6.7075e-05,1.45288009
0.6,3.45,-100.6879242,-1.452937853,6.2828e-05,1.452875026
0.6,3.5,-100.6879184,-1.452929037,5.834e-05,1.452870697
0.6,3.55,-100.6879132,-1.452920724,5.3706e-05,1.452867019
0.6,3.6,-100.6879083,-1.452913259,4.9358e-05,1.452863901
0.6,3.65,-100.6879038,-1.4529067,4.5392e-05,1.452861308
0.6,3.7,-100.6878997,-1.452900931,4.1737e-05,1.452859194
0.6,3.75,-100.6878959,-1.452895642,3.8152e-05,1.45285749
0.6,3.8,-100.6878925,-1.452890903,3.4753e-05,1.45285615
0.6,3.85,-100.6878894,-1.452886556,3.1427e-05,1.452855129
0.6,3.9,-100.6878866,-1.452882252,2.789e-05,1.452854362
0.6,3.95,-100.6878841,-1.452878708,2.4936e-05,1.452853772
0.6,4,-100.6878818,-1.452876026,2.2701e-05,1.452853325
0.65,0.5,-100.4970342,-0.457205014,-0.713316976,1.170521989
0.65,0.55,-100.5562773,-0.596379605,-0.549566324,1.145945929
0.65,0.6,-100.6022705,-0.693136552,-0.430005872,1.123142424
0.65,0.65,-100.63849,-0.761493093,-0.340870003,1.102363096
0.65,0.7,-100.6673599,-0.810438797,-0.273238067,1.083676863
0.65,0.75,-100.6906112,-0.84591622,-0.221120956,1.067037176
0.65,0.8,-100.7095032,-0.871952287,-0.180395148,1.052347434
0.65,0.85,-100.7249679,-0.891314472,-0.148173515,1.039487987
0.65,0.9,-100.7377064,-0.905920133,-0.12239849,1.028318623
0.65,0.95,-100.7482534,-0.917107724,-0.101574469,1.018682194
0.65,1,-100.757022,-0.92581675,-0.084596774,1.010413524
0.65,1.05,-100.7643349,-0.932707291,-0.070641436,1.003348727
0.65,1.1,-100.7704469,-0.93824272,-0.059089381,0.997332101
0.65,1.15,-100.775562,-0.942748126,-0.049472215,0.992220341
0.65,1.2,-100.7798453,-0.946452659,-0.041431986,0.987884644
0.65,1.25,-100.7834323,-0.949520424,-0.034690883,0.984211307
0.65,1.3,-100.7864349,-0.95207154,-0.029029706,0.981101246
0.65,1.35,-100.7889466,-0.95419718,-0.024271872,0.978469052
0.65,1.4,-100.7910455,-0.955968783,-0.020272732,0.976241516
0.65,1.45,-100.7927977,-0.957444398,-0.016912006,0.974356404
0.65,1.5,-100.7942583,-0.958672293,-0.01408853,0.972760822
0.65,1.55,-100.7954742,-0.959693034,-0.011717111,0.971410145
0.65,1.6,-100.7964845,-0.960541034,-0.009725619,0.970266653
0.65,1.65,-100.7973221,-0.961245199,-0.008053286,0.969298485
0.65,1.7,-100.7980148,-0.96182951,-0.006649424,0.968478934
0.65,1.75,-100.7985858,-0.962314273,-0.005471014,0.967785287
